"CountryCode","GenderCode","LifeExpectancy","LowestPricEstTobacco","MediumPriceEstTobacco","Mortality","PremiumPricEstTobacco","TobaccoPrevalence","TotalTax"
"HTI","BTSX",4,0,1,20,0,8,1
"HTI","FMLE",4,0,0,20,0,8,0
"HTI","MLE",4,0,0,20,0,8,0
"HUN","BTSX",4,1,7,20,1,8,7
"HUN","FMLE",4,0,0,20,0,8,0
"HUN","MLE",4,0,0,20,0,8,0
"IDN","BTSX",4,1,7,20,1,8,7
"IDN","FMLE",4,0,0,20,0,8,0
"IDN","MLE",4,0,0,20,0,8,0
"IND","BTSX",4,1,7,20,1,8,7
"IND","FMLE",4,0,0,20,0,8,0
"IND","MLE",4,0,0,20,0,8,0
"IRL","BTSX",4,1,7,20,1,8,7
"IRL","FMLE",4,0,0,20,0,8,0
"IRL","MLE",4,0,0,20,0,8,0
"IRN","BTSX",4,1,7,20,1,8,7
"IRN","FMLE",4,0,0,20,0,8,0
"IRN","MLE",4,0,0,20,0,8,0
"IRQ","BTSX",4,1,7,20,1,8,7
"IRQ","FMLE",4,0,0,20,0,8,0
"IRQ","MLE",4,0,0,20,0,8,0
"ISL","BTSX",4,1,7,20,1,8,7
"ISL","FMLE",4,0,0,20,0,8,0
"ISL","MLE",4,0,0,20,0,8,0
"ISR","BTSX",4,1,7,20,1,8,7
"ISR","FMLE",4,0,0,20,0,8,0
"ISR","MLE",4,0,0,20,0,8,0
"ITA","BTSX",4,1,7,20,1,8,7
"ITA","FMLE",4,0,0,20,0,8,0
"ITA","MLE",4,0,0,20,0,8,0
"JAM","BTSX",4,1,7,20,1,8,7
"JAM","FMLE",4,0,0,20,0,8,0
"JAM","MLE",4,0,0,20,0,8,0
"JOR","BTSX",4,1,7,20,1,8,7
"JOR","FMLE",4,0,0,20,0,8,0
"JOR","MLE",4,0,0,20,0,8,0
"JPN","BTSX",4,1,7,20,1,8,7
"JPN","FMLE",4,0,0,20,0,8,0
"JPN","MLE",4,0,0,20,0,8,0
"KAZ","BTSX",4,1,7,20,1,8,7
"KAZ","FMLE",4,0,0,20,0,8,0
"KAZ","MLE",4,0,0,20,0,8,0
"KEN","BTSX",4,1,7,20,1,8,7
"KEN","FMLE",4,0,0,20,0,8,0
"KEN","MLE",4,0,0,20,0,8,0
"KGZ","BTSX",4,1,7,20,1,8,7
"KGZ","FMLE",4,0,0,20,0,8,0
"KGZ","MLE",4,0,0,20,0,8,0
"KHM","BTSX",4,1,7,20,1,8,7
"KHM","FMLE",4,0,0,20,0,8,0
"KHM","MLE",4,0,0,20,0,8,0
"KIR","BTSX",4,1,7,20,1,8,7
"KIR","FMLE",4,0,0,20,0,8,0
"KIR","MLE",4,0,0,20,0,8,0
"KNA","BTSX",0,0,6,0,0,0,6
"KOR","BTSX",4,1,7,20,1,8,7
"KOR","FMLE",4,0,0,20,0,8,0
"KOR","MLE",4,0,0,20,0,8,0
"KWT","BTSX",4,1,7,20,1,8,7
"KWT","FMLE",4,0,0,20,0,8,0
"KWT","MLE",4,0,0,20,0,8,0
"LAO","BTSX",4,1,7,20,1,8,7
"LAO","FMLE",4,0,0,20,0,8,0
"LAO","MLE",4,0,0,20,0,8,0
"LBN","BTSX",4,1,7,20,1,8,7
"LBN","FMLE",4,0,0,20,0,8,0
"LBN","MLE",4,0,0,20,0,8,0
"LBR","BTSX",4,1,7,20,1,8,7
"LBR","FMLE",4,0,0,20,0,8,0
"LBR","MLE",4,0,0,20,0,8,0
"LBY","BTSX",4,1,7,20,1,0,7
"LBY","FMLE",4,0,0,20,0,0,0
"LBY","MLE",4,0,0,20,0,0,0
"LCA","BTSX",4,1,7,20,1,0,7
"LCA","FMLE",4,0,0,20,0,0,0
"LCA","MLE",4,0,0,20,0,0,0
"LKA","BTSX",4,1,7,20,0,8,7
"LKA","FMLE",4,0,0,20,0,8,0
"LKA","MLE",4,0,0,20,0,8,0
"LSO","BTSX",4,0,6,20,0,8,6
"LSO","FMLE",4,0,0,20,0,8,0
"LSO","MLE",4,0,0,20,0,8,0
"LTU","BTSX",4,1,7,20,1,8,7
"LTU","FMLE",4,0,0,20,0,8,0
"LTU","MLE",4,0,0,20,0,8,0
"LUX","BTSX",4,1,7,20,1,8,7
"LUX","FMLE",4,0,0,20,0,8,0
"LUX","MLE",4,0,0,20,0,8,0
"LVA","BTSX",4,1,7,20,1,8,7
"LVA","FMLE",4,0,0,20,0,8,0
"LVA","MLE",4,0,0,20,0,8,0
"MAR","BTSX",4,1,7,20,1,8,7
"MAR","FMLE",4,0,0,20,0,8,0
"MAR","MLE",4,0,0,20,0,8,0
"MCO","BTSX",0,1,2,0,1,0,1
