"ID","CountryCode","Year","GenderCode","TobaccoPrevalence","LifeExpectancy","Mortality","LowestPricEstTobacco","PremiumPricEstTobacco","MediumPriceEstTobacco","TotalTax","cost_mean","MediumPriceEstTobacco_who","AveragePrev","TobaccoPrevalence_who"
"BWA2008M","BWA",2008,"MLE",NA,NA,40.04,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2009B","BWA",2009,"BTSX",NA,NA,31.75,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2009F","BWA",2009,"FMLE",NA,NA,25.18,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2009M","BWA",2009,"MLE",NA,NA,38.87,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2011B","BWA",2011,"BTSX",NA,NA,31.03,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2011F","BWA",2011,"FMLE",NA,NA,25.21,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2011M","BWA",2011,"MLE",NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2012B","BWA",2012,"BTSX",NA,NA,31,NA,NA,"25","0.49",NA,NA,NA,NA
"BWA2012F","BWA",2012,"FMLE",NA,NA,25.25,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2012M","BWA",2012,"MLE",NA,NA,37.47,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2013B","BWA",2013,"BTSX",NA,NA,30.74,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2013F","BWA",2013,"FMLE",NA,NA,25.3,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2013M","BWA",2013,"MLE",NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2014B","BWA",2014,"BTSX",NA,NA,30.16,NA,NA,"27.33","0.55",NA,NA,NA,NA
"BWA2014F","BWA",2014,"FMLE",NA,NA,25.57,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2014M","BWA",2014,"MLE",NA,NA,35.64,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2016B","BWA",2016,"BTSX",NA,NA,28.89,NA,NA,"33.33","0.5",NA,NA,NA,NA
"BWA2016F","BWA",2016,"FMLE",NA,NA,24.67,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2016M","BWA",2016,"MLE",NA,NA,34.18,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2017B","BWA",2017,"BTSX",NA,NA,28.52,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2017F","BWA",2017,"FMLE",NA,NA,24.33,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2017M","BWA",2017,"MLE",NA,NA,33.84,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2001B","CAF",2001,"BTSX",NA,NA,40.97,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2001F","CAF",2001,"FMLE",NA,NA,36.28,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2001M","CAF",2001,"MLE",NA,NA,46.21,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2002B","CAF",2002,"BTSX",NA,NA,40.87,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2002F","CAF",2002,"FMLE",NA,NA,36.22,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2002M","CAF",2002,"MLE",NA,NA,46.08,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2003B","CAF",2003,"BTSX",NA,NA,40.35,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2003F","CAF",2003,"FMLE",NA,NA,35.78,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2003M","CAF",2003,"MLE",NA,NA,45.49,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2004B","CAF",2004,"BTSX",NA,NA,39.89,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2004F","CAF",2004,"FMLE",NA,NA,35.36,NA,NA,NA,NA,NA,NA,NA,NA
